,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hilo,19.7297,-155.09,73.4,83,90,6.26,US,1611782150
1,albany,42.6001,-73.9662,30.0,62,81,13.0,US,1611782082
2,bredasdorp,-34.5322,20.0403,57.2,72,96,5.75,ZA,1611782144
3,cockburn town,21.4612,-71.1419,80.6,54,40,10.36,TC,1611782640
4,atuona,-9.8,-139.0333,78.48,78,2,15.17,PF,1611782151
5,hermanus,-34.4187,19.2345,59.0,86,12,8.21,ZA,1611782146
6,aklavik,68.2191,-135.0107,-13.0,77,100,2.3,CA,1611782202
7,yar-sale,66.8333,70.8333,-39.41,80,85,4.61,RU,1611782395
8,victoria,22.2855,114.1577,63.0,85,3,1.01,HK,1611782055
9,cape town,-33.9258,18.4232,66.0,72,0,18.41,ZA,1611781988
10,new norfolk,-42.7826,147.0587,57.0,57,99,1.01,AU,1611782138
11,tupik,54.4253,119.9327,-26.25,83,100,2.82,RU,1611782641
12,pevek,69.7008,170.3133,-24.29,87,100,3.89,RU,1611782156
13,sioux lookout,50.1001,-91.917,-4.0,65,20,5.75,CA,1611782183
14,ponta do sol,32.6667,-17.1,62.6,94,75,9.22,PT,1611782152
15,sayat,38.7839,63.8803,28.4,93,0,4.61,TM,1611782642
16,samarai,-10.6167,150.6667,79.95,83,100,4.65,PG,1611782642
17,rikitea,-23.1203,-134.9692,79.34,75,39,14.18,PF,1611782140
18,atchison,39.563,-95.1216,28.0,80,100,7.27,US,1611782642
19,port alfred,-33.5906,26.891,64.99,94,28,1.99,ZA,1611782138
20,norman wells,65.282,-126.8329,-23.8,69,75,4.45,CA,1611782136
21,antofagasta,-23.65,-70.4,73.99,73,40,18.41,CL,1611782415
22,lebu,-37.6167,-73.65,61.23,70,100,11.77,CL,1611782152
23,severo-kurilsk,50.6789,156.125,26.71,95,100,14.0,RU,1611782156
24,lavrentiya,65.5833,-171.0,-2.22,88,98,14.5,RU,1611782643
25,vangaindrano,-23.35,47.6,76.3,89,21,0.65,MG,1611782643
26,bundibugyo,0.7414,30.0417,74.95,42,71,3.94,UG,1611782644
27,yamada,39.4667,141.95,30.4,88,100,4.72,JP,1611782644
28,iwanai,42.9744,140.5089,20.25,93,99,6.69,JP,1611782644
29,zhigansk,66.7697,123.3711,-47.81,76,57,6.98,RU,1611782186
30,ushuaia,-54.8,-68.3,41.0,87,75,24.16,AR,1611782141
31,busselton,-33.65,115.3333,48.99,84,0,1.99,AU,1611782142
32,carauari,-4.8828,-66.8958,82.15,88,71,2.19,BR,1611782645
33,cabo san lucas,22.8909,-109.9124,78.01,53,100,5.01,MX,1611782208
34,yulara,-25.2406,130.9889,75.2,73,40,8.05,AU,1611782158
35,tuatapere,-46.1333,167.6833,50.0,90,100,10.0,NZ,1611782198
36,ostrovnoy,68.0531,39.5131,10.24,94,100,21.05,RU,1611782186
37,georgetown,5.4112,100.3354,78.01,94,40,2.3,MY,1611782110
38,belaya gora,68.5333,146.4167,-23.69,87,100,1.03,RU,1611782645
39,luderitz,-26.6481,15.1594,67.62,62,0,28.52,NA,1611782169
40,geraldton,-28.7667,114.6,59.0,82,0,9.22,AU,1611782180
41,pipri,19.8,75.5333,62.6,77,0,4.72,IN,1611782646
42,carnarvon,-24.8667,113.6333,71.6,78,0,17.27,AU,1611782164
43,castro,-24.7911,-50.0119,71.29,88,100,7.16,BR,1611782149
44,hithadhoo,-0.6,73.0833,80.92,80,81,16.98,MV,1611782166
45,tambo,-14.8,-73.9167,46.76,61,31,15.32,PE,1611782646
46,coolum beach,-26.5333,153.1,80.01,82,11,3.0,AU,1611782647
47,vaini,-21.2,-175.2,75.2,94,90,8.05,TO,1611782135
48,opuwo,-18.0607,13.84,71.85,64,100,3.6,NA,1611782647
49,olafsvik,64.8945,-23.7142,30.58,87,90,17.52,IS,1611782211
50,tuktoyaktuk,69.4541,-133.0374,-23.8,76,20,6.91,CA,1611782141
51,torbay,47.6666,-52.7314,28.0,80,75,10.36,CA,1611782198
52,barrow,71.2906,-156.7887,-11.2,70,90,6.91,US,1611782101
53,mataura,-46.1927,168.8643,50.0,90,90,10.0,NZ,1611782137
54,cururupu,-1.8283,-44.8683,80.78,76,10,4.14,BR,1611782648
55,bethel,41.3712,-73.414,32.0,80,69,1.99,US,1611782139
56,aras,42.5617,-2.356,51.8,93,0,2.3,ES,1611782648
57,goderich,43.7501,-81.7165,23.0,80,100,8.05,CA,1611782648
58,mamallapuram,12.6264,80.1722,73.4,88,40,8.84,IN,1611782228
59,ponta delgada,37.7333,-25.6667,64.0,94,40,19.57,PT,1611782143
60,bikramganj,25.2,84.25,46.02,58,0,2.62,IN,1611782649
61,avarua,-21.2078,-159.775,89.6,62,20,16.11,CK,1611782143
62,sao filipe,14.8961,-24.4956,75.04,69,0,5.35,CV,1611782158
63,veraval,20.9,70.3667,63.73,34,17,12.71,IN,1611782649
64,pavino,59.1139,46.1414,32.18,96,100,9.73,RU,1611782649
65,deer lake,49.1667,-57.4316,28.4,80,90,5.75,CA,1611782650
66,marawi,7.9986,124.2928,71.01,89,100,5.01,PH,1611782151
67,namatanai,-3.6667,152.4333,81.79,77,91,8.16,PG,1611782273
68,husavik,66.0449,-17.3389,15.8,86,90,4.61,IS,1611782171
69,qaanaaq,77.484,-69.3632,-14.96,63,0,7.52,GL,1611782170
70,jamestown,42.097,-79.2353,25.0,79,90,8.63,US,1611782090
71,alice springs,-23.7,133.8833,73.99,78,31,6.91,AU,1611782651
72,kyshtovka,56.555,76.6271,9.86,96,97,4.81,RU,1611782651
73,cherskiy,68.75,161.3,-22.86,85,100,3.27,RU,1611782149
74,sijunjung,-0.6876,100.9537,70.16,89,100,1.16,ID,1611782651
75,odweyne,9.4092,45.064,65.75,41,0,4.45,SO,1611782651
76,colares,38.7992,-9.4469,59.0,88,100,3.0,PT,1611782651
77,dikson,73.5069,80.5464,-19.84,86,100,9.86,RU,1611782158
78,sabang,5.8933,95.3214,80.4,80,75,8.34,ID,1611782652
79,port elizabeth,-33.918,25.5701,66.2,72,90,8.05,ZA,1611781937
80,sokoni,-6.4333,39.55,81.0,79,34,12.46,TZ,1611782652
81,tarko-sale,64.9225,77.785,-43.69,80,32,6.08,RU,1611782225
82,tasiilaq,65.6145,-37.6368,21.2,45,75,25.32,GL,1611782185
83,bluff,-46.6,168.3333,50.0,90,100,10.0,NZ,1611782030
84,pacific grove,36.6177,-121.9166,52.0,81,90,10.36,US,1611782386
85,north bend,43.4065,-124.2243,46.4,87,75,11.95,US,1611782653
86,oussouye,12.485,-16.5469,77.0,88,0,2.3,SN,1611782413
87,arraial do cabo,-22.9661,-42.0278,84.2,73,0,21.85,BR,1611782161
88,wangaratta,-36.3667,146.3333,69.8,60,75,8.05,AU,1611782424
89,hervey bay,-25.2986,152.8535,79.0,79,7,4.0,AU,1611782584
